Field,Label,Value
resource_2_metadata_modified,Metadata Updated,2026-01-20T13:59:02.525313
resource_2_microdata,Microdata,False
resource_2_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_2_resource_type,Resource Type,file.upload
resource_2_name,Resource Name,DHS Mobile Data for Ghana
resource_2_mimetype,MIME Type,text/csv
resource_2_size,Size,2.0M
resource_3_created,Created,2020-01-27T16:40:24.706372
resource_3_description,Description,HXLated csv containing SDGs data
resource_3_format,File Format,CSV
resource_3_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/c90844f8-b0ab-4470-94b6-e6091e3f39e6/download/sdgs_subnational_gha.csv
resource_3_id,Resource ID,c90844f8-b0ab-4470-94b6-e6091e3f39e6
resource_3_last_modified,Updated,2026-01-20T13:57:29.489538
resource_3_metadata_modified,Metadata Updated,2026-01-20T13:59:04.515501
resource_3_microdata,Microdata,False
resource_3_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_3_resource_type,Resource Type,file.upload
resource_3_name,Resource Name,SDGs Data for Ghana
resource_3_mimetype,MIME Type,text/csv
resource_3_size,Size,485.2K
resource_4_created,Created,2020-01-27T16:40:24.706376
resource_4_description,Description,HXLated csv containing MDGs data
resource_4_format,File Format,CSV
resource_4_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/1f33ca6a-00b3-4008-8f13-d5e6da7e676e/download/mdgs_subnational_gha.csv
resource_4_id,Resource ID,1f33ca6a-00b3-4008-8f13-d5e6da7e676e
resource_4_last_modified,Updated,2026-01-20T13:57:29.985476
resource_4_metadata_modified,Metadata Updated,2026-01-20T13:59:03.301112
resource_4_microdata,Microdata,False
resource_4_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_4_resource_type,Resource Type,file.upload
resource_4_name,Resource Name,MDGs Data for Ghana
resource_4_mimetype,MIME Type,text/csv
resource_4_size,Size,495.6K
resource_5_created,Created,2020-01-27T16:40:24.706381
resource_5_description,Description,HXLated csv containing PMI/RBM data
resource_5_format,File Format,CSV
resource_5_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/8fd1a217-5c8b-42df-8dfb-3ec4e4e61ba0/download/rbm_subnational_gha.csv
resource_5_id,Resource ID,8fd1a217-5c8b-42df-8dfb-3ec4e4e61ba0
resource_5_last_modified,Updated,2026-01-20T13:57:30.711138
resource_5_metadata_modified,Metadata Updated,2026-01-20T13:59:06.989506
resource_5_microdata,Microdata,False
resource_5_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_5_resource_type,Resource Type,file.upload
resource_5_name,Resource Name,PMI/RBM Data for Ghana
resource_5_mimetype,MIME Type,text/csv
resource_5_size,Size,286.0K
resource_6_created,Created,2020-01-27T16:40:24.706385
resource_6_description,Description,HXLated csv containing IYCF data
resource_6_format,File Format,CSV
resource_6_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/60a3bb7c-bee0-43db-833d-4e8869f050f8/download/iycf_subnational_gha.csv
resource_6_id,Resource ID,60a3bb7c-bee0-43db-833d-4e8869f050f8
resource_6_last_modified,Updated,2026-01-20T13:57:31.217477
resource_6_metadata_modified,Metadata Updated,2026-01-20T13:59:05.661594
resource_6_microdata,Microdata,False
resource_6_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_6_resource_type,Resource Type,file.upload
resource_6_name,Resource Name,IYCF Data for Ghana
resource_6_mimetype,MIME Type,text/csv
resource_6_size,Size,88.1K
resource_7_created,Created,2020-01-27T16:40:24.706389
resource_7_description,Description,HXLated csv containing MICS indicators data
resource_7_format,File Format,CSV
resource_7_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/f6b14b13-5144-4442-bb12-39dd82f1ceb5/download/mics-indicators_subnational_gha.csv
resource_7_id,Resource ID,f6b14b13-5144-4442-bb12-39dd82f1ceb5
resource_7_last_modified,Updated,2026-01-20T13:57:31.961428
resource_7_metadata_modified,Metadata Updated,2026-01-20T13:59:11.818471
resource_7_microdata,Microdata,False
resource_7_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_7_resource_type,Resource Type,file.upload
resource_7_name,Resource Name,MICS indicators Data for Ghana
resource_7_mimetype,MIME Type,text/csv
resource_7_size,Size,1.2M
resource_8_created,Created,2020-01-27T16:40:24.706393
resource_8_description,Description,HXLated csv containing FP2020 data
resource_8_format,File Format,CSV
resource_8_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/6ff5a225-df88-4b25-bfce-361e47d9e7d5/download/fp2020_subnational_gha.csv
resource_8_id,Resource ID,6ff5a225-df88-4b25-bfce-361e47d9e7d5
resource_8_last_modified,Updated,2026-01-20T13:57:32.463071
resource_8_metadata_modified,Metadata Updated,2026-01-20T13:59:11.051719
resource_8_microdata,Microdata,False
resource_8_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_8_resource_type,Resource Type,file.upload
resource_8_name,Resource Name,FP2020 Data for Ghana
resource_8_mimetype,MIME Type,text/csv
resource_8_size,Size,602.6K
resource_9_created,Created,2020-01-27T16:40:24.706397
resource_9_description,Description,HXLated csv containing Access to Health Care data
resource_9_format,File Format,CSV
resource_9_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/442752ed-cb04-48c3-8e0a-de83dfd843a3/download/access-to-health-care_subnational_gha.csv
resource_9_id,Resource ID,442752ed-cb04-48c3-8e0a-de83dfd843a3
resource_9_last_modified,Updated,2026-01-20T13:57:33.032310
resource_9_metadata_modified,Metadata Updated,2026-01-20T13:59:10.074738
resource_9_microdata,Microdata,False
resource_9_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_9_resource_type,Resource Type,file.upload
resource_9_name,Resource Name,Access to Health Care Data for Ghana
resource_9_mimetype,MIME Type,text/csv
resource_9_size,Size,2.4M
resource_10_created,Created,2020-01-27T16:40:24.706402
resource_10_description,Description,HXLated csv containing Anemia data
resource_10_format,File Format,CSV
resource_10_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/98ed8116-f679-4ce4-adb1-78e77cf30e09/download/anemia_subnational_gha.csv
resource_10_id,Resource ID,98ed8116-f679-4ce4-adb1-78e77cf30e09
resource_10_last_modified,Updated,2026-01-20T13:57:33.874088
resource_10_metadata_modified,Metadata Updated,2026-01-20T13:59:13.881402
resource_10_microdata,Microdata,False
resource_10_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_10_resource_type,Resource Type,file.upload
resource_10_name,Resource Name,Anemia Data for Ghana
resource_10_mimetype,MIME Type,text/csv
resource_10_size,Size,203.1K
resource_11_created,Created,2020-01-27T16:40:24.706406
resource_11_description,Description,HXLated csv containing Anthropometry data
resource_11_format,File Format,CSV
resource_11_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/890cbd60-921e-4900-9083-bc9b8869d401/download/anthropometry_subnational_gha.csv
resource_11_id,Resource ID,890cbd60-921e-4900-9083-bc9b8869d401
resource_11_last_modified,Updated,2026-01-20T13:57:34.483309
resource_11_metadata_modified,Metadata Updated,2026-01-20T13:59:12.780633
resource_11_microdata,Microdata,False
resource_11_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_11_resource_type,Resource Type,file.upload
resource_11_name,Resource Name,Anthropometry Data for Ghana
resource_11_mimetype,MIME Type,text/csv
resource_11_size,Size,439.8K
resource_12_created,Created,2020-01-27T16:40:24.706410
resource_12_description,Description,HXLated csv containing Birth Registration data
resource_12_format,File Format,CSV
resource_12_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/0b89ed7a-9db5-4ea1-a0be-da9116ff5210/download/birth-registration_subnational_gha.csv
resource_12_id,Resource ID,0b89ed7a-9db5-4ea1-a0be-da9116ff5210
resource_12_last_modified,Updated,2026-01-20T13:57:35.451914
resource_12_metadata_modified,Metadata Updated,2026-01-20T13:59:15.236810
resource_12_microdata,Microdata,False
resource_12_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_12_resource_type,Resource Type,file.upload
resource_12_name,Resource Name,Birth Registration Data for Ghana
resource_12_mimetype,MIME Type,text/csv
resource_12_size,Size,45.2K
resource_13_created,Created,2020-01-27T16:40:24.706421
resource_13_description,Description,HXLated csv containing Child Mortality Rates data
resource_13_format,File Format,CSV
resource_13_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/65db5fe6-0b1a-4171-aa08-305191cf50c0/download/child-mortality-rates_subnational_gha.csv
resource_13_id,Resource ID,65db5fe6-0b1a-4171-aa08-305191cf50c0
resource_13_last_modified,Updated,2026-01-20T13:57:35.974742
resource_13_metadata_modified,Metadata Updated,2026-01-20T13:59:16.188336
resource_13_microdata,Microdata,False
resource_13_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_13_resource_type,Resource Type,file.upload
resource_13_name,Resource Name,Child Mortality Rates Data for Ghana
resource_13_mimetype,MIME Type,text/csv
resource_13_size,Size,159.0K
resource_14_created,Created,2020-01-27T16:40:24.706426
resource_14_description,Description,HXLated csv containing Diarrhea data
resource_14_format,File Format,CSV
resource_14_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/67c9af3f-f69e-4b01-8471-6b4c616800a3/download/diarrhea_subnational_gha.csv
resource_14_id,Resource ID,67c9af3f-f69e-4b01-8471-6b4c616800a3
resource_14_last_modified,Updated,2026-01-20T13:57:36.491185
resource_14_metadata_modified,Metadata Updated,2026-01-20T13:59:17.485406
resource_14_microdata,Microdata,False
resource_14_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_14_resource_type,Resource Type,file.upload
resource_14_name,Resource Name,Diarrhea Data for Ghana
resource_14_mimetype,MIME Type,text/csv
resource_14_size,Size,1.3M
resource_15_created,Created,2020-01-27T16:40:24.706430
resource_15_description,Description,HXLated csv containing Fertility Rates data
resource_15_format,File Format,CSV
resource_15_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/0392195b-7f3f-4bef-a748-d9cab232bfb2/download/fertility-rates_subnational_gha.csv
resource_15_id,Resource ID,0392195b-7f3f-4bef-a748-d9cab232bfb2
resource_15_last_modified,Updated,2026-01-20T13:57:37.769346
resource_15_metadata_modified,Metadata Updated,2026-01-20T13:59:21.961546
resource_15_microdata,Microdata,False
resource_15_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_15_resource_type,Resource Type,file.upload
resource_15_name,Resource Name,Fertility Rates Data for Ghana
resource_15_mimetype,MIME Type,text/csv
resource_15_size,Size,220.8K
resource_16_created,Created,2020-01-27T16:40:24.706434
resource_16_description,Description,HXLated csv containing Health Insurance data
resource_16_format,File Format,CSV
resource_16_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/17cea218-6e43-464a-b548-20728ca96e97/download/health-insurance_subnational_gha.csv
resource_16_id,Resource ID,17cea218-6e43-464a-b548-20728ca96e97
resource_16_last_modified,Updated,2026-01-20T13:57:38.364367
resource_16_metadata_modified,Metadata Updated,2026-01-20T13:59:20.204198
resource_16_microdata,Microdata,False
resource_16_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_16_resource_type,Resource Type,file.upload
resource_16_name,Resource Name,Health Insurance Data for Ghana
resource_16_mimetype,MIME Type,text/csv
resource_16_size,Size,161.8K
resource_17_created,Created,2020-01-27T16:40:24.706439
resource_17_description,Description,HXLated csv containing HIV Attitudes data
resource_17_format,File Format,CSV
resource_17_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/e1da7921-d1e9-4640-ae99-423b328b1cee/download/hiv-attitudes_subnational_gha.csv
resource_17_id,Resource ID,e1da7921-d1e9-4640-ae99-423b328b1cee
resource_17_last_modified,Updated,2026-01-20T13:57:38.876779
resource_17_metadata_modified,Metadata Updated,2026-01-20T13:59:26.811949
resource_17_microdata,Microdata,False
resource_17_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_17_resource_type,Resource Type,file.upload
resource_17_name,Resource Name,HIV Attitudes Data for Ghana
resource_17_mimetype,MIME Type,text/csv
resource_17_size,Size,264.7K
resource_18_created,Created,2020-01-27T16:40:24.706443
resource_18_description,Description,HXLated csv containing HIV Behavior data
resource_18_format,File Format,CSV
resource_18_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/ec8c1fb1-00a2-49d0-ab12-c6401d08dc6e/download/hiv-behavior_subnational_gha.csv
resource_18_id,Resource ID,ec8c1fb1-00a2-49d0-ab12-c6401d08dc6e
resource_18_last_modified,Updated,2026-01-20T13:57:39.336485
resource_18_metadata_modified,Metadata Updated,2026-01-20T13:59:22.874311
resource_18_microdata,Microdata,False
resource_18_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_18_resource_type,Resource Type,file.upload
resource_18_name,Resource Name,HIV Behavior Data for Ghana
resource_18_mimetype,MIME Type,text/csv
resource_18_size,Size,359.3K
resource_19_created,Created,2020-01-27T16:40:24.706447
resource_19_description,Description,HXLated csv containing HIV Counseling and Testing data
resource_19_format,File Format,CSV
resource_19_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/5224af57-8fb3-4345-9df2-3f4eb9ee7c1b/download/hiv-counseling-and-testing_subnational_gha.csv
resource_19_id,Resource ID,5224af57-8fb3-4345-9df2-3f4eb9ee7c1b
resource_19_last_modified,Updated,2026-01-20T13:57:40.272588
resource_19_metadata_modified,Metadata Updated,2026-01-20T13:59:23.923768
resource_19_microdata,Microdata,False
resource_19_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_19_resource_type,Resource Type,file.upload
resource_19_name,Resource Name,HIV Counseling and Testing Data for Ghana
resource_19_mimetype,MIME Type,text/csv
resource_19_size,Size,269.8K
resource_20_created,Created,2020-01-27T16:40:24.706451
resource_20_description,Description,HXLated csv containing HIV Knowledge data
resource_20_format,File Format,CSV
resource_20_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/1abf207b-4f9d-4b36-8451-f686894cd6ea/download/hiv-knowledge_subnational_gha.csv
resource_20_id,Resource ID,1abf207b-4f9d-4b36-8451-f686894cd6ea
resource_20_last_modified,Updated,2026-01-20T13:57:40.737515
resource_20_metadata_modified,Metadata Updated,2026-01-20T13:59:25.492165
resource_20_microdata,Microdata,False
resource_20_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_20_resource_type,Resource Type,file.upload
resource_20_name,Resource Name,HIV Knowledge Data for Ghana
resource_20_mimetype,MIME Type,text/csv
resource_20_size,Size,396.3K
resource_21_created,Created,2020-01-27T16:40:24.706455
resource_21_description,Description,HXLated csv containing HIV Prevalence data
resource_21_format,File Format,CSV
resource_21_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/714764ad-7b6c-4c50-8f0f-dae41c1d9921/download/hiv-prevalence_subnational_gha.csv
resource_21_id,Resource ID,714764ad-7b6c-4c50-8f0f-dae41c1d9921
resource_21_last_modified,Updated,2026-01-20T13:57:41.181302
resource_21_metadata_modified,Metadata Updated,2026-01-20T13:59:27.991828
resource_21_microdata,Microdata,False
resource_21_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_21_resource_type,Resource Type,file.upload
resource_21_name,Resource Name,HIV Prevalence Data for Ghana
resource_21_mimetype,MIME Type,text/csv
resource_21_size,Size,132.1K
resource_22_created,Created,2020-01-27T16:40:24.706460
resource_22_description,Description,HXLated csv containing Immunization data
resource_22_format,File Format,CSV
resource_22_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/68728246-ffd2-4f53-9d1e-a44173108b44/download/immunization_subnational_gha.csv
resource_22_id,Resource ID,68728246-ffd2-4f53-9d1e-a44173108b44
resource_22_last_modified,Updated,2026-01-20T13:57:41.596714
resource_22_metadata_modified,Metadata Updated,2026-01-20T13:59:29.360494
resource_22_microdata,Microdata,False
resource_22_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_22_resource_type,Resource Type,file.upload
resource_22_name,Resource Name,Immunization Data for Ghana
resource_22_mimetype,MIME Type,text/csv
resource_22_size,Size,244.2K
resource_23_created,Created,2020-01-27T16:40:24.706464
resource_23_description,Description,HXLated csv containing Insecticide Treated Nets data
resource_23_format,File Format,CSV
resource_23_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/43ed6431-5133-4a32-994b-c451b38a4834/download/insecticide-treated-nets_subnational_gha.csv
resource_23_id,Resource ID,43ed6431-5133-4a32-994b-c451b38a4834
resource_23_last_modified,Updated,2026-01-20T13:57:42.611314
resource_23_metadata_modified,Metadata Updated,2026-01-20T13:59:30.149216
resource_23_microdata,Microdata,False
resource_23_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_23_resource_type,Resource Type,file.upload
resource_23_name,Resource Name,Insecticide Treated Nets Data for Ghana
resource_23_mimetype,MIME Type,text/csv
resource_23_size,Size,724.7K
resource_24_created,Created,2020-01-27T16:40:24.706468
resource_24_description,Description,HXLated csv containing Iodized Salt data
resource_24_format,File Format,CSV
resource_24_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/5669df17-c8c7-4bc4-a39a-459770f2829a/download/iodized-salt_subnational_gha.csv
resource_24_id,Resource ID,5669df17-c8c7-4bc4-a39a-459770f2829a
resource_24_last_modified,Updated,2026-01-20T13:57:43.028079
resource_24_metadata_modified,Metadata Updated,2026-01-20T13:59:31.187737
resource_24_microdata,Microdata,False
resource_24_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_24_resource_type,Resource Type,file.upload
resource_24_name,Resource Name,Iodized Salt Data for Ghana
resource_24_mimetype,MIME Type,text/csv
resource_24_size,Size,62.2K
resource_25_created,Created,2020-01-27T16:40:24.706472
resource_25_description,Description,HXLated csv containing Literacy data
resource_25_format,File Format,CSV
resource_25_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/61c98b0c-a1dc-4078-afad-f6aa2335b01d/download/literacy_subnational_gha.csv
resource_25_id,Resource ID,61c98b0c-a1dc-4078-afad-f6aa2335b01d
resource_25_last_modified,Updated,2026-01-20T13:57:43.448615
resource_25_metadata_modified,Metadata Updated,2026-01-20T13:59:32.082594
resource_25_microdata,Microdata,False
resource_25_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_25_resource_type,Resource Type,file.upload
resource_25_name,Resource Name,Literacy Data for Ghana
resource_25_mimetype,MIME Type,text/csv
resource_25_size,Size,271.2K
resource_26_created,Created,2020-01-27T16:40:24.706476
resource_26_description,Description,HXLated csv containing Malaria Parasitemia data
resource_26_format,File Format,CSV
resource_26_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/c9939a19-251f-4a09-9802-04364b209888/download/malaria-parasitemia_subnational_gha.csv
resource_26_id,Resource ID,c9939a19-251f-4a09-9802-04364b209888
resource_26_last_modified,Updated,2026-01-20T13:57:43.851665
resource_26_metadata_modified,Metadata Updated,2026-01-20T13:59:33.856634
resource_26_microdata,Microdata,False
resource_26_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_26_resource_type,Resource Type,file.upload
resource_26_name,Resource Name,Malaria Parasitemia Data for Ghana
resource_26_mimetype,MIME Type,text/csv
resource_26_size,Size,72.6K
resource_27_created,Created,2020-01-27T16:40:24.706481
resource_27_description,Description,HXLated csv containing Male Circumcision data
resource_27_format,File Format,CSV
resource_27_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/928b43de-ef0b-4ec6-bfbb-85b2c47442b1/download/male-circumcision_subnational_gha.csv
resource_27_id,Resource ID,928b43de-ef0b-4ec6-bfbb-85b2c47442b1
resource_27_last_modified,Updated,2026-01-20T13:57:44.264255
resource_27_metadata_modified,Metadata Updated,2026-01-20T13:59:32.922590
resource_27_microdata,Microdata,False
resource_27_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_27_resource_type,Resource Type,file.upload
resource_27_name,Resource Name,Male Circumcision Data for Ghana
resource_27_mimetype,MIME Type,text/csv
resource_27_size,Size,52.1K
resource_28_created,Created,2020-01-27T16:40:24.706485
resource_28_description,Description,HXLated csv containing Men's Fertility and Family Planning data
resource_28_format,File Format,CSV
resource_28_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/9e586f74-57c1-45ef-a750-4e80bcd2a3a8/download/mens-fertility-and-family-planning_subnational_gha.csv
resource_28_id,Resource ID,9e586f74-57c1-45ef-a750-4e80bcd2a3a8
resource_28_last_modified,Updated,2026-01-20T13:57:45.361541
resource_28_metadata_modified,Metadata Updated,2026-01-20T13:59:34.902458
resource_28_microdata,Microdata,False
resource_28_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_28_resource_type,Resource Type,file.upload
resource_28_name,Resource Name,Men's Fertility and Family Planning Data for Ghana
resource_28_mimetype,MIME Type,text/csv
resource_28_size,Size,501.2K
resource_29_created,Created,2020-01-27T16:40:24.706489
resource_29_description,Description,HXLated csv containing Micronutrients data
resource_29_format,File Format,CSV
resource_29_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/a990b3c1-910a-490d-8fb3-cc9a32e74c1c/download/micronutrients_subnational_gha.csv
resource_29_id,Resource ID,a990b3c1-910a-490d-8fb3-cc9a32e74c1c
resource_29_last_modified,Updated,2026-01-20T13:57:45.916825
resource_29_metadata_modified,Metadata Updated,2026-01-20T13:59:35.936990
resource_29_microdata,Microdata,False
resource_29_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_29_resource_type,Resource Type,file.upload
resource_29_name,Resource Name,Micronutrients Data for Ghana
resource_29_mimetype,MIME Type,text/csv
resource_29_size,Size,170.3K
resource_30_created,Created,2020-01-27T16:40:24.706494
resource_30_description,Description,HXLated csv containing Orphans data
resource_30_format,File Format,CSV
resource_30_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/0edc3435-4855-42b3-8760-ac114164299e/download/orphans_subnational_gha.csv
resource_30_id,Resource ID,0edc3435-4855-42b3-8760-ac114164299e
resource_30_last_modified,Updated,2026-01-20T13:57:46.369461
resource_30_metadata_modified,Metadata Updated,2026-01-20T13:59:37.259452
resource_30_microdata,Microdata,False
resource_30_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_30_resource_type,Resource Type,file.upload
resource_30_name,Resource Name,Orphans Data for Ghana
resource_30_mimetype,MIME Type,text/csv
resource_30_size,Size,324.3K
resource_31_created,Created,2020-01-27T16:40:24.706498
resource_31_description,Description,HXLated csv containing Symptoms of acute respiratory infection (ARI) data
resource_31_format,File Format,CSV
resource_31_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/644dd87e-7fee-4f1c-abc5-17c3d83918ae/download/symptoms-of-acute-respiratory-infection-ari_subnational_gha.csv
resource_31_id,Resource ID,644dd87e-7fee-4f1c-abc5-17c3d83918ae
resource_31_last_modified,Updated,2026-01-20T13:57:46.784128
resource_31_metadata_modified,Metadata Updated,2026-01-20T13:59:38.308630
resource_31_microdata,Microdata,False
resource_31_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_31_resource_type,Resource Type,file.upload
resource_31_name,Resource Name,Symptoms of acute respiratory infection (ARI) Data for Ghana
resource_31_mimetype,MIME Type,text/csv
resource_31_size,Size,187.3K
resource_32_created,Created,2020-01-27T16:40:24.706502
resource_32_description,Description,HXLated csv containing Sexual Intercourse data
resource_32_format,File Format,CSV
